localities,No of shopping malls,Population
Alandi Road,8.00,28576.00
Ambegaon Budruk,2.00,23597.00
Anandnagar,2.00,10113.00
Aundh,6.00,17766.00
Aundh Road,6.00,15205.00
Balaji Nagar,1.00,19916.00
Baner,1.00,31972.00
Baner road,0.00,24574.00
Bhandarkar Road,2.00,16120.00
Bhavani Peth,1.00,17454.00
Bibvewadi,3.00,14397.00
Bopodi,1.00,15834.00
Budhwar Peth,4.00,8000.00
Bund Garden Road,1.00,14096.00
Camp,8.00,79454.00
Chandan Nagar,0.00,66867.00
Dapodi,1.00,4546.00
Deccan Gymkhana,2.00,6000.00
Dehu Road,0.00,48961.00
Dhankawadi,1.00,25148.00
Dhayari Phata,1.00,21861.00
Dhole Patil Road,0.00,30023.00
Fatima Nagar,3.00,6500.00
Fergusson College Road,0.00,16120.00
Ganesh Peth,2.00,14871.00
Ganeshkhind,1.00,20138.00
Ghorpade Peth,0.00,12547.00
Ghorpadi,1.00,25014.00
Gokhale Nagar,3.00,14614.00
Gultekdi,3.00,16457.00
Guruwar peth,1.00,9500.00
Hadapsar,8.00,40932.00
Hadapsar Industrial Estate,1.00,29733.00
Hingne Khurd,0.00,21971.00
Jangali Maharaj Road,1.00,15228.00
Kalyani Nagar,3.00,25272.00
Karve Nagar,3.00,29109.00
Karve Road,2.00,37509.00
Kasba Peth,1.00,15943.00
Khadki,2.00,429.00
Kharadi,1.00,70000.00
Kondhwa,4.00,25014.00
Kondhwa Budruk,2.00,45476.00
Kondhwa Khurd ,1.00,25014.00
Koregaon Park,3.00,14447.00
Law College Road,1.00,12909.00
Laxmi Road,1.00,12714.00
Lulla Nagar,1.00,49363.00
Mahatma Gandhi Road,1.00,5000.00
Mangalwar peth,0.00,8000.00
Manik Bagh,0.00,20666.00
Market yard,3.00,18923.00
Model colony,7.00,14892.00
Mukund Nagar,2.00,35527.00
Mundhawa,6.00,19153.00
Nagar Road,6.00,26134.00
Nana Peth,2.00,8000.00
Narayan Peth,1.00,41572.00
Narayangaon,1.00,20456.00
Navi Peth,0.00,8000.00
Padmavati,0.00,20700.00
Parvati Darshan,3.00,20279.00
Pashan,2.00,24574.00
Paud Road,2.00,18064.00
Pirangut,0.00,14174.00
Prabhat Road,0.00,15228.00
Pune Railway Station,0.00,10000.00
Rasta Peth,1.00,10752.00
Raviwar Peth,4.00,15953.00
Sadashiv Peth,4.00,100000.00
Sahakar Nagar,0.00,20316.00
Salunke Vihar,0.00,24791.00
Sasson Road,1.00,14192.00
Satara Road,6.00,9935.00
Senapati Bapat Road,2.00,20138.00
Shaniwar Peth,4.00,13824.00
Shivaji Nagar,12.00,13877.00
Shukrawar Peth,1.00,10000.00
Sinhagad Road,5.00,60000.00
Somwar Peth,1.00,12273.00
Swargate,1.00,31390.00
Tilak Road,1.00,99000.00
Uruli Devachi,3.00,9403.00
Vadgaon Budruk,1.00,25876.00
Wadgaon Sheri,6.00,39000.00
Viman Nagar,5.00,41000.00
Vishrant Wadi,5.00,24678.00
Wagholi,1.00,33479.00
Wakadewadi,0.00,23689.00
Wanowrie,5.00,18500.00
Warje,0.00,10000.00
Yerawada,12.00,7685.00
